Px,Py,Pz,Qw,Qx,Qy,Q 
100.894,-3.04814,-1.12741,0.999616,-0.000672463,-0.000672463,-0.027487
101.893,-3.10259,-1.1194,0.999626,-0.000701693,-0.000701693,-0.0269865
102.891,-3.15603,-1.10939,0.999634,-0.000730923,-0.000730923,-0.0264859
103.89,-3.20848,-1.09738,0.999641,-0.000760152,-0.000760152,-0.0259854
104.888,-3.25992,-1.08337,0.999647,-0.00078938,-0.00078938,-0.0254848
105.887,-3.31036,-1.06737,0.999651,-0.000818607,-0.000818607,-0.0249841
106.886,-3.35979,-1.04937,0.999655,-0.000847833,-0.000847833,-0.0244835
107.884,-3.40822,-1.02936,0.999657,-0.000877058,-0.000877058,-0.0239828
108.883,-3.45565,-1.00736,0.999658,-0.000906281,-0.000906281,-0.0234821
109.882,-3.50208,-0.983366,0.999658,-0.000935504,-0.000935504,-0.0229813
110.88,-3.5475,-0.95737,0.999656,-0.000964725,-0.000964725,-0.0224805
111.879,-3.59192,-0.929376,0.999653,-0.000993946,-0.000993946,-0.0219797
112.877,-3.63533,-0.899384,0.999649,-0.00102316,-0.00102316,-0.0214789
113.876,-3.67774,-0.867394,0.999644,-0.00105238,-0.00105238,-0.020978
114.875,-3.71914,-0.833407,0.999637,-0.0010816,-0.0010816,-0.0204771
115.873,-3.75954,-0.797422,0.999629,-0.00111081,-0.00111081,-0.0199762
116.872,-3.79894,-0.759441,0.99962,-0.00114003,-0.00114003,-0.0194753
