Px,Py,Pz,Qw,Qx,Qy,Q 
0,0,0,1,0,0,0 
1,0,0,1,0,0,0
2,0,0,1,0,0,0
3,0,0,1,0,0,0
4,0,0,1,0,0,0
5,0,0,1,0,0,0
6,0,0,1,0,0,0
7,0,0,1,0,0,0
8,0,0,1,0,0,0
9,0,0,1,0,0,0
10,0,0,1,0,0,0
11,0,0,1,0,0,0
12,0,0,1,0,0,0
13,0,0,1,0,0,0
14,0,0,1,0,0,0
15,0,0,1,0,0,0
16,0,0,1,0,0,0
17,0,0,1,0,0,0
18,0,0,1,0,0,0
19,0,0,1,0,0,0
20,0,0,1,0,0,0
21,0,0,1,0,0,0
22,0,0,1,0,0,0
23,0,0,1,0,0,0
24,0,0,1,0,0,0
25,0,0,1,0,0,0
26,0,0,1,0,0,0
27,0,0,1,0,0,0
28,0,0,1,0,0,0
29,0,0,1,0,0,0
30,0,0,1,0,0,0
31,0,0,1,0,0,0
32,0,0,1,0,0,0
33,0,0,1,0,0,0
34,0,0,1,0,0,0
35,0,0,1,0,0,0
36,0,0,1,0,0,0
37,0,0,1,0,0,0
38,0,0,1,0,0,0
39,0,0,1,0,0,0
40,-0.001,-0.0005,0.999999,0,0,-0.001
41,-0.00399999,-0.002,0.999997,0,0,-0.002
42,-0.00899997,-0.00449998,0.999994,0,0,-0.00299999
42.9999,-0.0159999,-0.00799995,0.99999,0,0,-0.00399999
43.9999,-0.0249997,-0.0124999,0.999984,0,0,-0.00499997
44.9998,-0.0359995,-0.0179997,0.999977,0,0,-0.00599995
45.9997,-0.048999,-0.0244995,0.999969,0,0,-0.00699993
46.9996,-0.0639983,-0.0319991,0.99996,0,0,-0.00799989
47.9994,-0.0809973,-0.0404986,0.999949,0,0,-0.00899985
48.9992,-0.0999958,-0.0499979,0.999937,0,0,-0.00999979
49.9989,-0.120994,-0.0604969,0.999924,0,0,-0.0109997
50.9986,-0.143991,-0.0719957,0.99991,0,0,-0.0119996
51.9982,-0.168988,-0.084494,0.999894,0,0,-0.0129995
52.9977,-0.195984,-0.097992,0.999878,0,0,-0.0139994
53.9972,-0.224979,-0.112489,0.999859,0,0,-0.0149993
54.9966,-0.255973,-0.127986,0.99984,0,0,-0.0159991
55.9959,-0.288965,-0.144483,0.999819,0,0,-0.016999
56.9951,-0.323956,-0.161978,0.999798,0,0,-0.0179988
57.9943,-0.360946,-0.180473,0.999774,0,0,-0.0189986
58.9933,-0.399933,-0.199967,0.99975,0,0,-0.0199983
59.9923,-0.440919,-0.220459,0.999724,0,0,-0.0209981
60.9911,-0.483902,-0.241951,0.999698,0,0,-0.0219978
61.9899,-0.528883,-0.264442,0.999669,0,0,-0.0229975
62.9885,-0.575862,-0.287931,0.99964,0,0,-0.0239971
63.987,-0.624837,-0.312419,0.999609,0,0,-0.0249967
64.9854,-0.67581,-0.337905,0.999578,0,0,-0.0259963
65.9836,-0.728779,-0.364389,0.999544,0,0,-0.0269959
66.9817,-0.783744,-0.391872,0.99951,0,0,-0.0279954
67.9797,-0.840705,-0.420353,0.999474,0,0,-0.0289949
68.9775,-0.899663,-0.449831,0.999438,0,0,-0.0299944
69.9752,-0.960615,-0.480308,0.999399,0,0,-0.0309938
70.9727,-1.02356,-0.511782,0.99936,0,0,-0.0319932
71.9701,-1.08851,-0.544253,0.999319,0,0,-0.0329925
72.9673,-1.15544,-0.577722,0.999278,0,0,-0.0339918
73.9643,-1.22437,-0.612187,0.999234,0,0,-0.0349911
74.9611,-1.2953,-0.64765,0.99919,0,0,-0.0359903
75.9578,-1.36822,-0.68411,0.999144,0,0,-0.0369895
76.9543,-1.44313,-0.721566,0.999098,0,0,-0.0379886
77.9506,-1.52004,-0.760018,0.999049,0,0,-0.0389876
78.9469,-1.59744,-0.79797,0.999088,-2.92407e-05,-2.92407e-05,-0.0384881
79.9433,-1.67385,-0.833925,0.999125,-5.84814e-05,-5.84814e-05,-0.0379885
80.9399,-1.74927,-0.867883,0.999161,-8.7722e-05,-8.7722e-05,-0.0374888
81.9366,-1.82369,-0.899843,0.999196,-0.000116963,-0.000116963,-0.0369892
82.9334,-1.89711,-0.929805,0.999229,-0.000146203,-0.000146203,-0.0364894
83.9304,-1.96954,-0.95777,0.999261,-0.000175443,-0.000175443,-0.0359896
84.9275,-2.04097,-0.983737,0.999292,-0.000204683,-0.000204683,-0.0354898
85.9247,-2.11141,-1.00771,0.999321,-0.000233923,-0.000233923,-0.0349899
86.9221,-2.18085,-1.02968,0.99935,-0.000263162,-0.000263162,-0.03449
87.9195,-2.24929,-1.04965,0.999377,-0.000292401,-0.000292401,-0.0339901
88.9171,-2.31673,-1.06762,0.999403,-0.00032164,-0.00032164,-0.0334901
89.9148,-2.38318,-1.0836,0.999427,-0.000350878,-0.000350878,-0.03299
90.9125,-2.44863,-1.09757,0.999451,-0.000380116,-0.000380116,-0.0324899
91.9104,-2.51308,-1.10955,0.999473,-0.000409353,-0.000409353,-0.0319898
92.9083,-2.57653,-1.11953,0.999494,-0.00043859,-0.00043859,-0.0314896
93.9063,-2.63898,-1.12751,0.999513,-0.000467827,-0.000467827,-0.0309894
94.9044,-2.70043,-1.13349,0.999532,-0.000497063,-0.000497063,-0.0304892
95.9026,-2.76089,-1.13748,0.999549,-0.000526298,-0.000526298,-0.0299889
96.9008,-2.82034,-1.13946,0.999565,-0.000555532,-0.000555532,-0.0294886
97.8991,-2.87879,-1.13944,0.999579,-0.000584766,-0.000584766,-0.0289882
98.8974,-2.93624,-1.13743,0.999593,-0.000613999,-0.000613999,-0.0284878
99.8958,-2.99269,-1.13342,0.999605,-0.000643231,-0.000643231,-0.0279874
