Px,Py,Pz,Qw,Qx,Qy,Q 
-0.255973,54.9966,-0.127986,0.99984,0,0,-0.0159991
-0.288965,55.9959,-0.144483,0.999819,0,0,-0.016999
-0.323956,56.9951,-0.161978,0.999798,0,0,-0.0179988
-0.360946,57.9943,-0.180473,0.999774,0,0,-0.0189986
-0.399933,58.9933,-0.199967,0.99975,0,0,-0.0199983
-0.440919,59.9923,-0.220459,0.999724,0,0,-0.0209981
-0.483902,60.9911,-0.241951,0.999698,0,0,-0.0219978
-0.528883,61.9899,-0.264442,0.999669,0,0,-0.0229975
-0.575862,62.9885,-0.287931,0.99964,0,0,-0.0239971
-0.624837,63.987,-0.312419,0.999609,0,0,-0.0249967
-0.67581,64.9854,-0.337905,0.999578,0,0,-0.0259963
-0.728779,65.9836,-0.364389,0.999544,0,0,-0.0269959
-0.783744,66.9817,-0.391872,0.99951,0,0,-0.0279954
-0.840705,67.9797,-0.420353,0.999474,0,0,-0.0289949
-0.899663,68.9775,-0.449831,0.999438,0,0,-0.0299944
-0.960615,69.9752,-0.480308,0.999399,0,0,-0.0309938
-1.02356,70.9727,-0.511782,0.99936,0,0,-0.0319932
-1.08851,71.9701,-0.544253,0.999319,0,0,-0.0329925
-1.15544,72.9673,-0.577722,0.999278,0,0,-0.0339918
-1.22437,73.9643,-0.612187,0.999234,0,0,-0.0349911
-1.2953,74.9611,-0.64765,0.99919,0,0,-0.0359903
-1.36822,75.9578,-0.68411,0.999144,0,0,-0.0369895
-1.44313,76.9543,-0.721566,0.999098,0,0,-0.0379886
-1.52004,77.9506,-0.760018,0.999049,0,0,-0.0389876
-1.59744,78.9469,-0.79797,0.999088,-2.92E-05,-2.92E-05,-0.0384881
-1.67385,79.9433,-0.833925,0.999125,-5.85E-05,-5.85E-05,-0.0379885
-1.74927,80.9399,-0.867883,0.999161,-8.77E-05,-8.77E-05,-0.0374888
-1.82369,81.9366,-0.899843,0.999196,-0.000116963,-0.000116963,-0.0369892
-1.89711,82.9334,-0.929805,0.999229,-0.000146203,-0.000146203,-0.0364894
-1.96954,83.9304,-0.95777,0.999261,-0.000175443,-0.000175443,-0.0359896
-2.04097,84.9275,-0.983737,0.999292,-0.000204683,-0.000204683,-0.0354898
-2.11141,85.9247,-1.00771,0.999321,-0.000233923,-0.000233923,-0.0349899
-2.18085,86.9221,-1.02968,0.99935,-0.000263162,-0.000263162,-0.03449
-2.24929,87.9195,-1.04965,0.999377,-0.000292401,-0.000292401,-0.0339901
-2.31673,88.9171,-1.06762,0.999403,-0.00032164,-0.00032164,-0.0334901
-2.38318,89.9148,-1.0836,0.999427,-0.000350878,-0.000350878,-0.03299
-2.44863,90.9125,-1.09757,0.999451,-0.000380116,-0.000380116,-0.0324899
-2.51308,91.9104,-1.10955,0.999473,-0.000409353,-0.000409353,-0.0319898
-2.57653,92.9083,-1.11953,0.999494,-0.00043859,-0.00043859,-0.0314896
-2.63898,93.9063,-1.12751,0.999513,-0.000467827,-0.000467827,-0.0309894
-2.70043,94.9044,-1.13349,0.999532,-0.000497063,-0.000497063,-0.0304892
-2.76089,95.9026,-1.13748,0.999549,-0.000526298,-0.000526298,-0.0299889
-2.82034,96.9008,-1.13946,0.999565,-0.000555532,-0.000555532,-0.0294886
-2.87879,97.8991,-1.13944,0.999579,-0.000584766,-0.000584766,-0.0289882
-2.93624,98.8974,-1.13743,0.999593,-0.000613999,-0.000613999,-0.0284878
-2.99269,99.8958,-1.13342,0.999605,-0.000643231,-0.000643231,-0.0279874
-3.04814,100.894,-1.12741,0.999616,-0.000672463,-0.000672463,-0.027487
-3.10259,101.893,-1.1194,0.999626,-0.000701693,-0.000701693,-0.0269865
-3.15603,102.891,-1.10939,0.999634,-0.000730923,-0.000730923,-0.0264859
-3.20848,103.89,-1.09738,0.999641,-0.000760152,-0.000760152,-0.0259854
-3.25992,104.888,-1.08337,0.999647,-0.00078938,-0.00078938,-0.0254848
-3.31036,105.887,-1.06737,0.999651,-0.000818607,-0.000818607,-0.0249841
-3.35979,106.886,-1.04937,0.999655,-0.000847833,-0.000847833,-0.0244835
-3.40822,107.884,-1.02936,0.999657,-0.000877058,-0.000877058,-0.0239828
-3.45565,108.883,-1.00736,0.999658,-0.000906281,-0.000906281,-0.0234821
-3.50208,109.882,-0.983366,0.999658,-0.000935504,-0.000935504,-0.0229813
-3.5475,110.88,-0.95737,0.999656,-0.000964725,-0.000964725,-0.0224805
-3.59192,111.879,-0.929376,0.999653,-0.000993946,-0.000993946,-0.0219797
-3.63533,112.877,-0.899384,0.999649,-0.00102316,-0.00102316,-0.0214789
-3.67774,113.876,-0.867394,0.999644,-0.00105238,-0.00105238,-0.020978
-3.71914,114.875,-0.833407,0.999637,-0.0010816,-0.0010816,-0.0204771
-3.75954,115.873,-0.797422,0.999629,-0.00111081,-0.00111081,-0.0199762
-3.79894,116.872,-0.759441,0.99962,-0.00114003,-0.00114003,-0.0194753
