Px,Py,Pz,Qw,Qx,Qy,Q 
0,0,0,1,0,0,0
0,1,0,1,0,0,0
0,2,0,1,0,0,0
0,3,0,1,0,0,0
0,4,0,1,0,0,0
0,5,0,1,0,0,0
0,6,0,1,0,0,0
0,7,0,1,0,0,0
0,8,0,1,0,0,0
0,9,0,1,0,0,0
0,10,0,1,0,0,0
0,11,0,1,0,0,0
0,12,0,1,0,0,0
0,13,0,1,0,0,0
0,14,0,1,0,0,0
0,15,0,1,0,0,0
0,16,0,1,0,0,0
0,17,0,1,0,0,0
0,18,0,1,0,0,0
0,19,0,1,0,0,0
0,20,0,1,0,0,0
0,21,0,1,0,0,0
0,22,0,1,0,0,0
0,23,0,1,0,0,0
0,24,0,1,0,0,0
0,25,0,1,0,0,0
0,26,0,1,0,0,0
0,27,0,1,0,0,0
0,28,0,1,0,0,0
0,29,0,1,0,0,0
0,30,0,1,0,0,0
0,31,0,1,0,0,0
0,32,0,1,0,0,0
0,33,0,1,0,0,0
0,34,0,1,0,0,0
0,35,0,1,0,0,0
0,36,0,1,0,0,0
0,37,0,1,0,0,0
0,38,0,1,0,0,0
0,39,0,1,0,0,0
-0.001,40,-0.0005,0.999999,0,0,-0.001
-0.00399999,41,-0.002,0.999997,0,0,-0.002
-0.00899997,42,-0.00449998,0.999994,0,0,-0.00299999
-0.0159999,42.9999,-0.00799995,0.99999,0,0,-0.00399999
-0.0249997,43.9999,-0.0124999,0.999984,0,0,-0.00499997
-0.0359995,44.9998,-0.0179997,0.999977,0,0,-0.00599995
-0.048999,45.9997,-0.0244995,0.999969,0,0,-0.00699993
-0.0639983,46.9996,-0.0319991,0.99996,0,0,-0.00799989
-0.0809973,47.9994,-0.0404986,0.999949,0,0,-0.00899985
-0.0999958,48.9992,-0.0499979,0.999937,0,0,-0.00999979
-0.120994,49.9989,-0.0604969,0.999924,0,0,-0.0109997
-0.143991,50.9986,-0.0719957,0.99991,0,0,-0.0119996
-0.168988,51.9982,-0.084494,0.999894,0,0,-0.0129995
-0.195984,52.9977,-0.097992,0.999878,0,0,-0.0139994
-0.224979,53.9972,-0.112489,0.999859,0,0,-0.0149993
